Modification Type,Low Cost,Average Cost,High Cost,Grant Coverage,Notes
Wheelchair Ramp,1700,2300,5000,SAH/SHA/HISA,Concrete ramps $250-500 per linear foot
Grab Bars (installed),100,350,500,All grants,Price per bar plus installation
Door Widening (per door),500,1200,5000,SAH/SHA,Exterior doors cost more ($1000-2500)
Bathroom Remodel (ADA),9000,20000,40000,SAH/SHA,Includes shower/toilet/sink/grab bars
Roll-in/Walk-in Shower,5000,8000,15000,SAH/SHA,Part of bathroom remodel or standalone
Kitchen Modification,3500,16000,38000,SAH,Lowered counters/pull-out shelves/accessible cabinets
Stairlift,3000,6000,15000,SAH/SHA,Straight stairlifts $3500-6000; curved cost more
Residential Elevator,15000,40000,50000,SAH only,Includes equipment/labor/structural changes
Non-slip Flooring,2000,4500,8000,SHA/HISA,Whole home or high-risk areas
Accessible Entry/No-step Entry,3000,7500,12000,SAH/SHA,Ramp plus door modifications
