Package Name,Included Modifications,Total Low,Total Average,Total High,Grant Match,Use Case,Typical Timeline
Basic Entry,"Ramp, Exterior Door Widening, Grab Bars",3200,6000,10500,HISA/SHA,Wheelchair access,1-2 weeks
Essential Bathroom,"Roll-in Shower, Grab Bars, Non-slip Floor",7100,12350,23500,SHA,Limited mobility,2-3 weeks
Full Bathroom,"ADA Remodel, Non-slip Floor, Door Widening",11500,25700,48500,SAH,Wheelchair user,3-5 weeks
Kitchen Basic,"Counter Lowering, Pull-out Shelves, Lever Faucets",2700,7800,12500,SHA,Seated cooking,1-2 weeks
Bathroom + Entry,"ADA Bathroom, Ramp, 2 Door Widenings",12200,28500,52500,SAH,Full ground floor access,4-6 weeks
Multi-level Access,"Stairlift, Bathroom Remodel, Grab Bars",12600,26350,55500,SAH,Two-story home,3-5 weeks
First Floor Suite,"Bedroom Conversion, Full Bathroom, Entry Ramp",18000,42000,75000,SAH,Avoid stairs entirely,6-10 weeks
Comprehensive Package,"Bathroom, Kitchen, Ramp, Flooring",26200,52800,95500,SAH,Total accessibility,8-12 weeks
Elevator Package,"Residential Elevator, Bathroom, Door Widening",24500,61200,95500,SAH,Multi-story full access,10-14 weeks
Safety Essentials,"Grab Bars, Non-slip Flooring, Lighting, Levers",2800,8850,13000,HISA/SHA,Fall prevention,1-2 weeks
