# Generated: 2025-11-10
# Military Installation Transition Offices Database
# Source: Compiled from MilitaryINSTALLATIONS, base websites, and official DOD resources

installation_name,branch,city,state,transition_office_name,address,phone,email,website,services_offered,appointment_required,walk_in_hours,virtual_services
Fort Liberty (Bragg),Army,Fayetteville,NC,Soldier for Life Transition Assistance Program,"4-2843, 1st Fl., Wing C",910-396-7188,usarmy.bragg.imcom-atlantic.mbx.sfl-tap-mil@army.mil,home.army.mil/liberty,"TAP workshops, employment assistance, benefits counseling, VA claims",Yes,"Mon-Fri 0730-1630",Yes
Fort Cavazos (Hood),Army,Killeen,TX,Transition Assistance Program,18010 T J Mills Blvd,254-288-2227,usarmy.cavazos.id-readiness.mbx.dhr-tap@army.mil,home.army.mil/cavazos,"Career counseling, education benefits, resume assistance, job fairs",Yes,"Mon-Fri 0800-1700",Yes
Fort Campbell,Army,Fort Campbell,KY,Army Community Service Transition,5661 Screaming Eagle Blvd,270-798-5280,,home.army.mil/campbell,"Employment readiness, TAP classes, career skills programs",Yes,"Mon-Fri 0730-1630",Yes
Fort Stewart,Army,Hinesville,GA,Soldier for Life TAP,2105 Freedom Way Bldg 1058,912-767-7348,,home.army.mil/stewart,"Transition workshops, job search assistance, education counseling",Yes,"Mon-Fri 0800-1630",Yes
Joint Base Lewis-McChord,Army,Tacoma,WA,Transition Assistance Program,Building 2012,253-477-0276,,home.army.mil/lewis-mcchord,"Career counseling, benefits assistance, family services",Yes,"Mon-Fri 0730-1630",Yes
Fort Bliss,Army,El Paso,TX,Soldier for Life TAP,Building 2263 Battalion Avenue,915-568-5684,,home.army.mil/bliss,"Employment services, education benefits, transition workshops",Yes,"Mon-Fri 0730-1630",Yes
Fort Carson,Army,Colorado Springs,CO,Soldier for Life TAP,1625 Ellis Street Building 1042,719-526-0584,,home.army.mil/carson,"Career guidance, job placement, benefits counseling",Yes,"Mon-Fri 0730-1630",Yes
Fort Riley,Army,Junction City,KS,Transition Assistance Program,Building 7470 Normandy Drive,785-239-2278,,home.army.mil/riley,"TAP workshops, employment assistance, education benefits",Yes,"Mon-Fri 0730-1630",Yes
Fort Drum,Army,Watertown,NY,Soldier for Life TAP,Building T-1041 Mount Belvedere Blvd,315-772-6595,,home.army.mil/drum,"Transition services, career counseling, VA liaison",Yes,"Mon-Fri 0730-1630",Yes
Fort Benning,Army,Columbus,GA,Soldier for Life TAP,Building 2633 Eckel Avenue,706-545-2988,,home.army.mil/benning,"Employment readiness, education counseling, skills training",Yes,"Mon-Fri 0730-1630",Yes
Fort Sill,Army,Lawton,OK,Transition Assistance Program,4700 Mow Way Road Building 4700,580-442-2654,,sill-www.army.mil,"TAP classes, career services, benefits briefings",Yes,"Mon-Fri 0730-1630",Yes
Fort Gordon,Army,Augusta,GA,Soldier for Life TAP,36000 Chamberlain Ave Building 29808,706-791-2633,,home.army.mil/gordon,"Transition workshops, employment assistance, education benefits",Yes,"Mon-Fri 0730-1630",Yes
Fort Polk,Army,Fort Polk,LA,Transition Assistance Program,7672 Mississippi Avenue Building 917,337-531-4801,,home.army.mil/polk,"Career counseling, job search resources, VA benefits",Yes,"Mon-Fri 0730-1630",Yes
