# Generated: 2025-11-10
# VSO Contacts by State Database
# Source: Compiled from VFW, American Legion, DAV, AMVETS, VVA, and state veteran affairs offices

state,state_abbr,organization_name,office_type,address,city,zip_code,phone,email,website,services_offered,counties_served
Alabama,AL,Alabama Department of Veterans Affairs,State,PO Box 1509,Montgomery,36102-1509,334-242-5077,,va.alabama.gov,"Benefits counseling, claims assistance, state benefits",All counties
Alabama,AL,VFW Department of Alabama,State,,,,,,,www.vfwal.org,"Veterans benefits assistance, advocacy",All counties
Alabama,AL,American Legion Department of Alabama,State,,,,,,,www.legional.org,"Claims assistance, veteran support programs",All counties
Alaska,AK,Alaska Office of Veterans Affairs,State,PO Box 5800,Ft Richardson,99505-5800,907-428-6016,,veterans.alaska.gov,"Benefits assistance, claims support",All counties
Alaska,AK,VFW Department of Alaska,State,,,,,,,www.vfwak.org,"Veterans benefits, community support",All counties
Arizona,AZ,Arizona Department of Veterans Services,State,3839 N 3rd St Ste 209,Phoenix,85012,602-255-3373,,dvs.az.gov,"Benefits counseling, claims filing, education",All counties
Arizona,AZ,DAV Department of Arizona,State,,,,,,,az-dav.org,"Free claims assistance, benefits counseling",All counties
Arizona,AZ,VFW Department of Arizona,State,,,,,,,www.vfwaz.org,"Veteran advocacy, benefits support",All counties
Arizona,AZ,American Legion Department of Arizona,State,4701 N 19th Ave Ste 200,Phoenix,85015,602-264-7706,,www.azlegion.org,"Veterans services, community programs",All counties
Arkansas,AR,Arkansas Department of Veterans Affairs,State,2501 N Stiles,Little Rock,72114,501-370-3820,,veterans.arkansas.gov,"Benefits assistance, claims support, state programs",All counties
Arkansas,AR,VFW Department of Arkansas,State,,,,,,,www.vfwar.org,"Veterans advocacy, benefits counseling",All counties
California,CA,California Department of Veterans Affairs (CalVet),State,1227 O Street Room 300,Sacramento,95814,800-952-5626,,www.calvet.ca.gov,"Home loans, education benefits, healthcare, claims assistance",All counties
California,CA,VFW Department of California,State,,,,,,,www.vfwca.org,"Veterans benefits, advocacy services",All counties
California,CA,American Legion Department of California,State,1601 7th Street,Sanger,93657,559-875-8387,,www.calegion.org,"Benefits assistance, community support",All counties
California,CA,DAV Department of California,State,,,,,,,www.davmembersportal.org/ca,"Free claims assistance for disabled veterans",All counties
Colorado,CO,Colorado Division of Veterans Affairs,State,1355 S Colorado Blvd Bldg C Suite 113,Denver,80222,303-914-5835,,dmva.colorado.gov/divisions/veterans-affairs,"Benefits counseling, burial benefits, claims assistance",All counties
Colorado,CO,VFW Department of Colorado,State,,,,,,,www.vfwcolo.org,"Veteran support, benefits advocacy",All counties
Connecticut,CT,Connecticut Department of Veterans Affairs,State,287 West Street,Rocky Hill,06067,860-616-3603,,portal.ct.gov/dva,"Benefits assistance, state programs, healthcare",All counties
Connecticut,CT,American Legion Department of Connecticut,State,287 West St,Rocky Hill,06067,860-436-9986,,www.ctlegion.org,"Veterans services, claims support",All counties
Delaware,DE,Delaware Commission of Veterans Affairs,State,802 Silver Lake Blvd Suite 100,Dover,19904,302-739-2792,,veteransaffairs.delaware.gov,"Benefits counseling, claims assistance",All counties
Delaware,DE,VFW Department of Delaware,State,,,,,,,www.vfwde.com,"Veterans advocacy, community programs",All counties
Florida,FL,Florida Department of Veterans' Affairs,State,9500 Bay Pines Blvd,St Petersburg,33708,727-319-7440,,floridavets.org,"Benefits, education, healthcare, employment assistance",All counties
Florida,FL,VFW Department of Florida,State,,,,,,,www.vfwflorida.org,"Veterans support, benefits counseling",All counties
Florida,FL,American Legion Department of Florida,State,1912-A Lee Road,Orlando,32810,407-295-2631,,www.floridalegion.org,"Claims assistance, veteran programs",All counties
Florida,FL,DAV Department of Florida,State,,,,,,,www.davflorida.org,"Free disability claims assistance",All counties
Georgia,GA,Georgia Department of Veterans Service,State,Floyd Veterans Memorial Building Suite E-970,Atlanta,30334,404-656-2300,,veterans.georgia.gov,"Benefits counseling, claims assistance, state programs",All counties
Georgia,GA,American Legion Department of Georgia,State,1700 Clairmont Rd,Decatur,30033,404-289-8883,,www.galegion.org,"Veterans services, advocacy",All counties
Georgia,GA,VFW Department of Georgia,State,,,,,,,www.vfwga.org,"Benefits support, community programs",All counties
Hawaii,HI,Hawaii Office of Veterans Services,State,459 Patterson Road E-Wing Room 1-A103,Honolulu,96819,808-433-0420,,dod.hawaii.gov/ovs,"Benefits assistance, claims support",All counties
