school_name,school_type,state,city,programs_offered,total_enrollment,veteran_enrollment,yellow_ribbon_program,in_state_tuition,out_of_state_tuition,housing_allowance_rate,graduation_rate,veteran_graduation_rate,post_graduation_employment_rate,gi_bill_students,veteran_services_office,contact_phone,contact_email,website,notes
American Military University,Online,West Virginia,Charles Town,"Business, Cybersecurity, Criminal Justice, Intelligence, IT, Military Studies",17000,17648,Yes,7920,7920,Online rate,35%,41%,75%,17648,Yes,(877) 755-2787,info@apus.edu,https://www.amu.apus.edu,Top choice for veterans - fully online
University of Maryland Global Campus,Online,Maryland,Adelphi,"Business, IT, Cybersecurity, Project Management, Healthcare",54000,50000,Yes,7296,7296,Online rate,30%,45%,82%,15000,Yes,(800) 888-8682,vets@umgc.edu,https://www.umgc.edu,Serving military since 1947
Liberty University,Private,Virginia,Lynchburg,"All majors - Religion, Business, Nursing, Engineering, Education",100000,15000,Yes,23800,23800,1542,51%,55%,78%,12500,Yes,(434) 582-2000,veterans@liberty.edu,https://www.liberty.edu,Large online presence for veterans
Arizona State University,Public,Arizona,Tempe,"Engineering, Business, Education, Journalism, Sustainability",80000,6500,Yes,11600,29438,2178,68%,71%,85%,6500,Yes,(480) 965-2100,veterans@asu.edu,https://asu.edu,Pat Tillman Veterans Center
Penn State World Campus,Public,Pennsylvania,University Park,"All majors - Business, Engineering, Education, Nursing, IT",10000,5200,Yes,15054,15054,Online rate,64%,68%,83%,5200,Yes,(814) 863-5386,military@psu.edu,https://www.worldcampus.psu.edu,200+ online programs
University of Phoenix,Private,Arizona,Phoenix,"Business, IT, Healthcare, Education, Criminal Justice",84000,5000,No,9552,9552,Online rate,29%,35%,72%,5000,Yes,(866) 766-0766,veterans@phoenix.edu,https://www.phoenix.edu,Large military population
Southern New Hampshire University,Private,New Hampshire,Manchester,"Business, Education, IT, Liberal Arts, Psychology",165000,4800,Yes,9600,9600,Online/1554,41%,48%,79%,4800,Yes,(603) 645-9695,military@snhu.edu,https://www.snhu.edu,Major online presence
Embry-Riddle Aeronautical University,Private,Florida,Daytona Beach,"Aerospace Engineering, Aviation, Business, Security, Technology",33000,4500,Yes,40984,40984,1785,63%,67%,88%,4500,Yes,(386) 226-6100,veterans@erau.edu,https://www.erau.edu,Top aviation school for veterans
Columbia Southern University,Online,Alabama,Orange Beach,"Fire Science, Occupational Safety, Criminal Justice, Business",28000,4200,No,5100,5100,Online rate,22%,30%,74%,4200,Yes,(800) 977-8449,veterans@columbiasouthern.edu,https://www.columbiasouthern.edu,Fire/EMS focused programs
University of Central Florida,Public,Florida,Orlando,"Engineering, Business, Nursing, Hospitality, Computer Science",68000,3900,Yes,6368,22467,1932,75%,77%,84%,3900,Yes,(407) 823-2000,veterans@ucf.edu,https://www.ucf.edu,Large veteran population in Orlando
Florida State University,Public,Florida,Tallahassee,"All majors - Business, Engineering, Education, Film, Sciences",43000,3500,Yes,5656,21683,1665,83%,85%,87%,3500,Yes,(850) 644-2000,veterans@fsu.edu,https://www.fsu.edu,Strong veteran support services
University of South Florida,Public,Florida,Tampa,"Engineering, Business, Medical, Education, Cybersecurity",50000,3400,Yes,6410,17324,1665,75%,78%,82%,3400,Yes,(813) 974-2000,veterans@usf.edu,https://www.usf.edu,Major research university
Texas A&M University,Public,Texas,College Station,"Engineering, Agriculture, Business, Veterinary, Military Science",74000,3300,Yes,7640,36636,1551,83%,86%,91%,3300,Yes,(979) 845-3211,veterans@tamu.edu,https://www.tamu.edu,Strong Corps of Cadets tradition
San Diego State University,Public,California,San Diego,"Business, Engineering, Nursing, Criminal Justice, Psychology",35000,3200,Yes,7510,19430,2760,79%,81%,84%,3200,Yes,(619) 594-5200,veterans@sdsu.edu,https://www.sdsu.edu,High veteran population
Old Dominion University,Public,Virginia,Norfolk,"Engineering, Business, Nursing, Education, Maritime",23000,3100,Yes,11460,31920,1710,54%,58%,80%,3100,Yes,(757) 683-3000,veterans@odu.edu,https://www.odu.edu,Near military bases
University of Texas at San Antonio,Public,Texas,San Antonio,"Business, Engineering, Education, Cybersecurity, Health",34000,3000,Yes,8009,20314,1551,49%,55%,79%,3000,Yes,(210) 458-4011,veterans@utsa.edu,https://www.utsa.edu,Military City USA
Virginia Tech,Public,Virginia,Blacksburg,"Engineering, Architecture, Business, Agriculture, Veterinary",37000,2900,Yes,14012,33253,1710,87%,89%,92%,2900,Yes,(540) 231-6000,veterans@vt.edu,https://www.vt.edu,Corps of Cadets program
Northeastern University,Private,Massachusetts,Boston,"Engineering, Business, Health, Computer Science, Criminal Justice",27000,2800,Yes,60192,60192,2973,92%,93%,95%,2800,Yes,(617) 373-2000,veterans@northeastern.edu,https://www.northeastern.edu,Strong co-op program
Ohio State University,Public,Ohio,Columbus,"All majors - Engineering, Business, Medical, Agriculture",66000,2700,Yes,12859,36722,1488,88%,89%,91%,2700,Yes,(614) 292-6446,veterans@osu.edu,https://www.osu.edu,Large public research university
University of Arizona,Public,Arizona,Tucson,"Science, Engineering, Business, Optical Sciences, Nursing",46000,2650,Yes,13619,39960,2178,65%,68%,81%,2650,Yes,(520) 621-2211,veterans@arizona.edu,https://www.arizona.edu,Strong STEM programs
University of Alabama,Public,Alabama,Tuscaloosa,"Engineering, Business, Nursing, Law, Education",39000,2600,Yes,11900,31090,1335,70%,73%,82%,2600,Yes,(205) 348-6010,veterans@ua.edu,https://www.ua.edu,SEC university
Purdue University Global,Online,Indiana,West Lafayette,"IT, Business, Nursing, Criminal Justice, Healthcare",45000,2550,Yes,10000,10000,Online rate,35%,42%,76%,2550,Yes,(844) 578-7348,military@purdueglobal.edu,https://www.purdueglobal.edu,Kaplan University now Purdue Global
University of Florida,Public,Florida,Gainesville,"Engineering, Business, Journalism, Agriculture, Medical",56000,2500,Yes,6380,28658,1665,90%,91%,94%,2500,Yes,(352) 392-3261,veterans@ufl.edu,https://www.ufl.edu,Top public university
Tidewater Community College,Community College,Virginia,Norfolk,"Liberal Arts, Business, Health Sciences, IT, Trades",18000,5776,No,4956,11016,1710,31%,38%,68%,5776,Yes,(757) 822-1122,veterans@tcc.edu,https://www.tcc.edu,Highest CC veteran enrollment
Ivy Tech Community College,Community College,Indiana,Indianapolis,"Liberal Arts, Health, Business, Technology, Manufacturing",75000,4968,No,4487,8854,1059,28%,35%,65%,4968,Yes,(888) 489-5463,military@ivytech.edu,https://www.ivytech.edu,Statewide system
Northern Virginia Community College,Community College,Virginia,Annandale,"Liberal Arts, IT, Business, Health Sciences, Engineering",52000,4084,No,5544,11424,1710,33%,39%,70%,4084,Yes,(703) 323-3000,veterans@nvcc.edu,https://www.nvcc.edu,Large DC area college
Florida State College at Jacksonville,Community College,Florida,Jacksonville,"Liberal Arts, Nursing, Business, Aviation, Dental Hygiene",22000,3751,No,3132,11844,1665,39%,45%,71%,3751,Yes,(904) 646-2300,veterans@fscj.edu,https://www.fscj.edu,Strong veteran programs
Palo Alto College,Community College,Texas,San Antonio,"Liberal Arts, Nursing, Business, Aviation, Technology",9500,3650,No,2760,7140,1551,25%,32%,64%,3650,Yes,(210) 486-3000,veterans@alamo.edu,https://www.alamo.edu/pac,Alamo Colleges system
Tarrant County College,Community College,Texas,Fort Worth,"Liberal Arts, Health, Business, IT, Trades",48000,3500,No,1770,6120,1551,30%,37%,67%,3500,Yes,(817) 515-8223,veterans@tccd.edu,https://www.tccd.edu,Large Texas community college
San Diego Mesa College,Community College,California,San Diego,"Liberal Arts, Exercise Science, Culinary, Business, Health",20000,3400,No,1288,7944,2760,45%,51%,73%,3400,Yes,(619) 388-2600,veterans@sdccd.edu,https://www.sdmesa.edu,San Diego CCD system
Austin Community College,Community College,Texas,Austin,"Liberal Arts, Health, Business, Technology, Design",38000,3200,No,2760,9570,1551,29%,36%,66%,3200,Yes,(512) 223-7000,veterans@austincc.edu,https://www.austincc.edu,Capital area college
Houston Community College,Community College,Texas,Houston,"Liberal Arts, Health, Business, Technology, Process Tech",55000,3100,No,2550,5100,1551,22%,29%,62%,3100,Yes,(713) 718-2000,veterans@hccs.edu,https://www.hccs.edu,Multiple campus system
El Paso Community College,Community College,Texas,El Paso,"Liberal Arts, Nursing, Business, Welding, Border Trade",25000,3000,No,2760,5970,1551,27%,34%,65%,3000,Yes,(915) 831-2000,veterans@epcc.edu,https://www.epcc.edu,Near Fort Bliss
Valencia College,Community College,Florida,Orlando,"Liberal Arts, Health, Business, Film, Hospitality",42000,2950,No,3132,11844,1665,53%,58%,75%,2950,Yes,(407) 299-5000,veterans@valenciacollege.edu,https://www.valenciacollege.edu,DirectConnect to UCF
Miami Dade College,Community College,Florida,Miami,"Liberal Arts, Health, Business, Hospitality, Aviation",60000,2900,No,3132,11844,1932,42%,48%,72%,2900,Yes,(305) 237-8888,veterans@mdc.edu,https://www.mdc.edu,Largest community college in US
Broward College,Community College,Florida,Fort Lauderdale,"Liberal Arts, Health, Business, Aviation, Emergency Services",35000,2850,No,3132,11844,1932,48%,53%,74%,2850,Yes,(954) 201-7350,veterans@broward.edu,https://www.broward.edu,South Florida college
Palm Beach State College,Community College,Florida,Lake Worth,"Liberal Arts, Nursing, Dental, Business, Public Safety",28000,2800,No,3132,11844,1932,41%,47%,71%,2800,Yes,(561) 967-7222,veterans@palmbeachstate.edu,https://www.palmbeachstate.edu,Four-county service area
Hillsborough Community College,Community College,Florida,Tampa,"Liberal Arts, Health, Business, Fire Science, Aviation",22000,2750,No,3132,11844,1665,44%,50%,73%,2750,Yes,(813) 253-7000,veterans@hccfl.edu,https://www.hccfl.edu,Tampa Bay area
