state,state_code,organization_name,office_type,address,city,zip_code,phone,email,website,services_offered,languages_spoken,appointment_required,walk_in_hours,notes
Alabama,AL,VFW Department of Alabama,State HQ,2520 Grants Mill Road,Birmingham,35226,(205) 822-5912,alabamavfw@gmail.com,https://vfwal.org,"Claims assistance, Benefits counseling, Employment services",English,No,Mon-Fri 9:00-4:00,State headquarters with full-service support
Alabama,AL,American Legion Department of Alabama,State HQ,120 North Jackson Street,Montgomery,36104,(334) 262-1176,adjutant@alalegion.org,https://www.alalegion.org,"VA claims, Employment, Community outreach",English,Yes,By appointment only,Contact for appointment scheduling
Alabama,AL,DAV Department of Alabama,State HQ,810 Governors Drive,Huntsville,35801,(256) 539-2539,davstateoffice@gmail.com,https://davwebsites.dav.org/AL,"VA claims, Benefits assistance","English, Spanish",No,Mon-Fri 8:00-4:30,Free claims assistance for all veterans
Alabama,AL,AMVETS Department of Alabama,State HQ,1419 2nd Avenue North,Birmingham,35203,(205) 251-0025,amvetsal@gmail.com,https://amvetsal.org,"Benefits, Employment, Transition assistance",English,No,Mon-Fri 9:00-5:00,Walk-ins welcome
Alabama,AL,VFW Post 1114,Local Post,2810 Pepperell Parkway,Opelika,36801,(334) 749-5618,vfwpost1114@gmail.com,https://vfwpost1114.org,"Local community support, VA referrals",English,No,Wed-Sat 12:00-8:00,Active post with veteran services
Alabama,AL,American Legion Post 555,Local Post,215 West Spring Street,Tuscaloosa,35401,(205) 758-0555,post555al@legion.org,https://alpost555.org,"Community service, Benefits referrals",English,No,Mon-Fri 10:00-6:00,Monthly veteran benefits meetings
Alabama,AL,DAV Mobile Chapter,Regional Office,2050 Springhill Avenue,Mobile,36607,(251) 478-2828,davmobile@yahoo.com,https://davmobile.org,"VA claims, Transportation assistance","English, Spanish",Yes,Tue-Thu 9:00-3:00,Call ahead for appointments
Alabama,AL,VVA Alabama State Council,State HQ,PO Box 361243,Birmingham,35236,(205) 243-8840,vvaalabamasc@gmail.com,https://vvaalabama.org,"VA benefits, PTSD support, Agent Orange claims",English,Yes,By appointment,Vietnam-era veterans focus
Alabama,AL,Alabama Department of Veterans Affairs,State Agency,100 North Union Street Suite 850,Montgomery,36130,(334) 242-5077,info@va.alabama.gov,https://va.alabama.gov,"State benefits, Claims assistance, Cemetery services","English, Spanish",Yes,Mon-Fri 8:00-5:00,State veterans service office
Alabama,AL,AMVETS Post 1 Birmingham,Local Post,1419 2nd Avenue North,Birmingham,35203,(205) 328-1943,amvetspost1@yahoo.com,https://amvetspost1.org,"Community outreach, VA referrals",English,No,Mon-Fri 12:00-6:00,Active post with regular meetings
